Date,Unit Net Value,Cumulative Net Value,Daily Growth
6/18/2020,1.4342,1.4342,-0.12%
6/17/2020,1.4359,1.4359,0.10%
6/16/2020,1.4344,1.4344,1.64%
6/15/2020,1.4113,1.4113,1.10%
6/12/2020,1.3959,1.3959,1.19%
6/11/2020,1.3795,1.3795,-5.52%
6/10/2020,1.4601,1.4601,-0.77%
6/9/2020,1.4714,1.4714,-2.08%
6/8/2020,1.5027,1.5027,0.88%
6/5/2020,1.4896,1.4896,1.84%
6/4/2020,1.4627,1.4627,-0.93%
6/3/2020,1.4764,1.4764,-0.16%
6/2/2020,1.4788,1.4788,0.59%
6/1/2020,1.4702,1.4702,-0.20%
5/29/2020,1.4732,1.4732,1.01%
5/28/2020,1.4584,1.4584,1.41%
5/27/2020,1.4381,1.4381,1.27%
5/26/2020,1.4201,1.4201,0.36%
5/25/2020,1.4150,1.4150,0.36%
5/22/2020,1.4099,1.4099,0.59%
5/21/2020,1.4016,1.4016,-1.04%
5/20/2020,1.4163,1.4163,1.01%
5/19/2020,1.4021,1.4021,-0.99%
5/18/2020,1.4161,1.4161,2.35%
5/15/2020,1.3836,1.3836,0.75%
5/14/2020,1.3733,1.3733,0.72%
5/13/2020,1.3635,1.3635,-1.37%
5/12/2020,1.3825,1.3825,-1.87%
5/11/2020,1.4089,1.4089,1.43%
5/8/2020,1.3891,1.3891,0.51%
5/7/2020,1.382,1.382,0.96%
5/6/2020,1.3688,1.3688,-0.98%
4/30/2020,1.3823,1.3823,-1.01%
4/29/2020,1.3964,1.3964,1.47%
4/28/2020,1.3762,1.3762,-1.77%
4/27/2020,1.401,1.401,1.45%
4/24/2020,1.381,1.381,1.32%
4/23/2020,1.363,1.363,0.49%
4/22/2020,1.3564,1.3564,1.69%
4/21/2020,1.3339,1.3339,-3.18%
4/20/2020,1.3777,1.3777,-0.84%
4/17/2020,1.3894,1.3894,2.83%
4/16/2020,1.3512,1.3512,1.97%
4/15/2020,1.3251,1.3251,-1.19%
4/14/2020,1.3411,1.3411,3.35%
4/13/2020,1.2976,1.2976,-1.46%
4/10/2020,1.3168,1.3168,-0.25%
4/9/2020,1.3201,1.3201,0.98%
4/8/2020,1.3073,1.3073,3.17%
4/7/2020,1.2671,1.2671,5.55%
4/3/2020,1.2005,1.2005,-1.17%
4/2/2020,1.2147,1.2147,2.12%
4/1/2020,1.1895,1.1895,-3.93%
3/31/2020,1.2382,1.2382,-0.01%
3/30/2020,1.2383,1.2383,4.14%
3/27/2020,1.1891,1.1891,-2.95%
3/26/2020,1.2252,1.2252,6.29%
3/25/2020,1.1527,1.1527,1.08%
3/24/2020,1.1404,1.1404,7.18%
3/23/2020,1.064,1.064,-3.99%
3/20/2020,1.1082,1.1082,-3.43%
3/19/2020,1.1476,1.1476,-0.04%
3/18/2020,1.1481,1.1481,-3.77%
3/17/2020,1.1931,1.1931,5.21%
3/16/2020,1.134,1.134,-9.78%
