Date,Unit Net Value,Cumulative Net Value,Daily Growth
6/18/2020,0.8330,1.2090,-0.48%
6/17/2020,0.8370,1.2130,0.48%
6/16/2020,0.8330,1.2090,0.48%
6/15/2020,0.8290,1.2050,1.84%
6/12/2020,0.8140,1.1900,2.13%
6/11/2020,0.7970,1.1730,-3.16%
6/10/2020,0.8230,1.1990,-0.96%
6/9/2020,0.8310,1.2070,0.24%
6/8/2020,0.8290,1.2050,0.36%
6/5/2020,0.8260,1.2020,1.72%
6/4/2020,0.8120,1.1880,-1.81%
6/3/2020,0.8270,1.2030,0.00%
6/2/2020,0.8270,1.2030,-0.96%
6/1/2020,0.8350,1.2110,0.48%
5/29/2020,0.8310,1.2070,-0.24%
5/28/2020,0.8330,1.2090,1.59%
5/27/2020,0.8200,1.1960,1.49%
5/26/2020,0.8080,1.1840,--
5/22/2020,0.7950,1.1710,2.05%
5/21/2020,0.7790,1.1550,-0.76%
5/20/2020,0.7850,1.1610,0.64%
5/19/2020,0.7800,1.1560,-1.27%
5/18/2020,0.7900,1.1660,1.94%
5/15/2020,0.7750,1.1510,-0.13%
5/14/2020,0.776,1.152,-0.39%
5/13/2020,0.779,1.155,0.00%
5/12/2020,0.779,1.155,-2.63%
5/11/2020,0.8,1.176,-0.37%
5/8/2020,0.803,1.179,0.50%
5/7/2020,0.799,1.175,0.00%
5/6/2020,0.799,1.175,-0.13%
4/30/2020,0.8,1.176,-1.11%
4/29/2020,0.809,1.185,-0.74%
4/28/2020,0.815,1.191,-0.12%
4/27/2020,0.816,1.192,1.62%
4/24/2020,0.803,1.179,0.25%
4/23/2020,0.801,1.177,0.00%
4/22/2020,0.801,1.177,1.78%
4/21/2020,0.787,1.163,-0.76%
4/20/2020,0.793,1.169,-1.86%
4/17/2020,0.808,1.184,1.25%
4/16/2020,0.798,1.174,1.27%
4/15/2020,0.788,1.164,-1.87%
4/14/2020,0.803,1.179,2.82%
4/13/2020,0.781,1.157,--
4/9/2020,0.805,1.181,2.55%
4/8/2020,0.785,1.161,2.48%
4/7/2020,0.766,1.142,2.13%
4/3/2020,0.75,1.126,-0.13%
4/2/2020,0.751,1.127,1.62%
4/1/2020,0.739,1.115,-2.76%
3/31/2020,0.76,1.136,-0.52%
3/30/2020,0.764,1.14,3.10%
3/27/2020,0.741,1.117,0.14%
3/26/2020,0.74,1.116,5.56%
3/25/2020,0.701,1.077,2.64%
3/24/2020,0.683,1.059,6.89%
3/23/2020,0.639,1.015,-4.91%
3/20/2020,0.672,1.048,-2.47%
3/19/2020,0.689,1.065,-1.15%
3/18/2020,0.697,1.073,-2.92%
3/17/2020,0.718,1.094,4.66%
3/16/2020,0.686,1.062,-8.53%
3/13/2020,0.75,1.126,8.23%
